event_id,toa_mjd_bary
B427,59882.833916324977
B428,59882.835386286060
B429,59882.835626279695
B433,59882.837066241555
B430,59882.837336234406
B431,59882.837506229902
B434,59882.839466177968
B435,59882.840236157557
B436,59882.840246157284
B437,59882.843176079601
B438,59882.845526017256
B440,59882.847435966556
B441,59882.847645960981
B442,59882.847865955140
B443,59882.848105948775
B445,59882.848535937352
B448,59882.849025924341
B446,59882.849295917171
B447,59882.849605908938
B452,59882.850445886630
B449,59882.851515858201
B450,59882.851575856606
B451,59882.851675853955
B453,59882.851965846239
B454,59882.853295810899
B455,59882.854485779266
B457,59882.855645748423
B458,59882.855935740707
B459,59882.856295731137
B460,59882.856855716243
B461,59882.857385702147
B462,59882.858745665966
B463,59883.851828735002
B464,59883.852768709017
B465,59883.854608658141
B469,59883.856338610283
B466,59883.856928593959
B467,59883.857038590919
B472,59883.857718572101
B473,59883.858338554935
B471,59883.858948538058
B474,59883.859518522273
B475,59883.863088423408
B476,59883.866458330027
B477,59883.867508300922
B478,59883.869638241849
B479,59883.872568160550
B480,59883.875448080595
B481,59883.875998065327
B483,59884.826751284047
B484,59884.826981277467
B485,59884.828181243181
B486,59884.828821224888
B487,59884.830681171727
B488,59884.830901165442
B489,59884.836401008113
B492,59884.840680885573
B493,59884.840870880129
B494,59884.840880879841
B491,59884.842400836300
B495,59887.809881156150
B496,59887.831160482332
B497,59887.841330159448
B498,59888.825528394380
B499,59888.830238240225
B500,59888.835498067936
B501,59888.841727863677
B502,59888.843247813813
B503,59888.847207683844
B504,59888.853187487410
B505,59888.857487346046
B507,59888.858847301322
B508,59889.813605521573
B509,59889.823675182284
B510,59889.828555017659
B511,59889.831034933944
B512,59889.831654913010
B513,59889.834314823187
B514,59890.814521228443
B516,59890.819901041796
B515,59890.820391024790
B518,59890.828950727482
B519,59890.832160615886
B520,59890.832260612413
B521,59890.838740386971
B523,59890.844870173496
B522,59890.845790141444
B525,59890.846940101372
B526,59890.847960065817
B527,59890.850529976218
B528,59891.814585974258
B529,59891.815615937507
B530,59891.817035886837
B531,59891.818145847225
B532,59891.822085706539
B533,59891.829645436388
B534,59892.812299825920
B535,59892.816789661301
B536,59892.817599631591
B537,59892.819709554191
B538,59892.820319531813
B539,59893.805012899356
B540,59893.821302286313
B541,59893.828462016412
B542,59894.794595146115
B543,59894.797885019412
B544,59894.800334925021
B545,59894.802214852578
