event_id,toa_mjd_bary
20210927-159,59484.852814646001
20210927-160,59484.853022126001
20210927-161,59484.853213258000
20210927-162,59484.853681430999
20210927-163,59484.853772777999
20210927-164,59484.853786403000
20210927-165,59484.855367766002
20210927-166,59484.855376767999
20210927-167,59484.855394421997
20210927-168,59484.855811529997
20210927-169,59484.855850904001
20210928-1,59485.784451366002
20210928-2,59485.784856798004
20210928-3,59485.785071425002
20210928-4,59485.785158498998
20210928-5,59485.785206793000
20210928-6,59485.785219956997
20210928-7,59485.785303846002
20210928-8,59485.785323605996
20210928-9,59485.785534672003
20210928-10,59485.785749460003
20210928-11,59485.785850024004
20210928-12,59485.785923479001
20210928-13,59485.786040341001
20210928-14,59485.786095397001
20210928-15,59485.786180488998
20210928-16,59485.786286704999
20210928-17,59485.786297006001
20210928-18,59485.786440598997
20210928-19,59485.786699976001
20210928-20,59485.786721955999
20210928-21,59485.787115566003
20210928-22,59485.787436990002
20210928-23,59485.787445850998
20210928-24,59485.787527248001
20210928-25,59485.787906277001
20210928-26,59485.788142242003
20210928-27,59485.788167960003
20210928-28,59485.788271794001
20210928-29,59485.788352778000
20210928-30,59485.788409428998
20210928-31,59485.788638872997
20210928-32,59485.788699744000
20210928-33,59485.788708544998
20210928-34,59485.788735640002
20210928-35,59485.788802477000
20210928-36,59485.788990462999
20210928-37,59485.789201412997
20210928-38,59485.789203070002
20210928-39,59485.789234828997
20210928-40,59485.789310072003
20210928-41,59485.789404966999
20210928-42,59485.789561454003
20210928-43,59485.789696182001
20210928-44,59485.789721701003
20210928-45,59485.789820628997
20210928-46,59485.789880716999
20210928-47,59485.790056864003
20210928-48,59485.790191086002
20210928-49,59485.790287948003
20210928-50,59485.790366308000
20210928-51,59485.790645128000
20210928-52,59485.790677206998
20210928-53,59485.790761217002
20210928-54,59485.790768901999
20210928-55,59485.790940384002
20210928-56,59485.790963619998
20210928-57,59485.790970513001
20210928-58,59485.791152054000
20210928-59,59485.791176653001
20210928-60,59485.791460159002
20210928-61,59485.791539716003
20210928-62,59485.792043986003
20210928-63,59485.792055748003
20210928-64,59485.792207824998
20210928-65,59485.792240698000
20210928-66,59485.792289366000
20210928-67,59485.792494255998
20210928-68,59485.792505746002
20210928-69,59485.792569049998
20210928-70,59485.792910892997
20210928-71,59485.793167568001
20210928-72,59485.793304510997
20210928-73,59485.793354385998
20210928-74,59485.793895727998
20210928-75,59485.793982313997
20210928-76,59485.793998624002
20210928-77,59485.794030682002
20210928-78,59485.794074826998
20210928-79,59485.794088766001
20210928-80,59485.794112714000
20210928-81,59485.794259688002
20210928-82,59485.794291944003
20210928-83,59485.794776497001
20210928-84,59485.794871268998
20210928-85,59485.795299603997
20210928-86,59485.795386163001
20210928-87,59485.795432856001
20210928-88,59485.795558512000
20210928-89,59485.795737704997
20210928-90,59485.795762180001
20210928-91,59485.796085369999
20210928-92,59485.796147651003
20210928-93,59485.796184403000
20210928-94,59485.796210765002
20210928-95,59485.796263249002
20210928-96,59485.796406365000
20210928-97,59485.796433331001
20210928-98,59485.796474228999
20210928-99,59485.796475547999
20210928-100,59485.796575606000
20210928-101,59485.796622624999
20210928-102,59485.796637872998
20210928-103,59485.796659346001
20210928-104,59485.796811597000
20210928-105,59485.796914708997
20210928-106,59485.796971217002
20210928-107,59485.797046031003
20210928-108,59485.797492381003
20210928-109,59485.797545481997
20210928-110,59485.797780146000
20210928-111,59485.797943386002
20210928-112,59485.797999517999
20210928-113,59485.798154349999
20210928-114,59485.798286653997
20210928-115,59485.798549772000
20210928-116,59485.798591241000
20210928-117,59485.798731743998
20210928-118,59485.798754909003
20210928-119,59485.798869124003
20210928-120,59485.799083432001
20210928-121,59485.799125142999
20210928-122,59485.799131004998
20210928-123,59485.799215229999
20210928-124,59485.799492284001
20210928-125,59485.799862726002
20210928-126,59485.799895101998
20210928-127,59485.800156126003
20210928-128,59485.800232702997
20210928-129,59485.800272232998
20210928-130,59485.800346538999
20210928-131,59485.800466617999
20210928-132,59485.800660055000
20210928-133,59485.800751643998
20210928-134,59485.800858082002
20210928-135,59485.801039692997
20210928-136,59485.801068555003
20210928-137,59485.801131018001
20210928-138,59485.801247622003
20210928-139,59485.801319151004
20210928-140,59485.801453000000
20210928-141,59485.801471993997
20210928-142,59485.801599195998
20210928-143,59485.801785629999
20210928-144,59485.801791780999
20210928-145,59485.801841950997
20210928-146,59485.802002418997
20210928-147,59485.802027033998
20210928-148,59485.802032088999
20210928-149,59485.802055120999
20210928-150,59485.802428654999
20210928-151,59485.802451492003
20210928-152,59485.802526653002
20210928-153,59485.802679257999
20210928-154,59485.802684217997
20210928-155,59485.802742740001
20210928-156,59485.802791146001
20210928-157,59485.802878552997
