event_id,toa_mjd_bary
B00957,60375.186280943999
B00959,60375.186346764000
B00960,60375.186434916999
B00961,60375.186482204001
B00962,60375.186571436003
B00963,60375.186589331002
B00964,60375.186629379001
B00966,60375.186715764998
B00967,60375.186742814003
B00968,60375.187008205998
B00969,60375.187106021003
B00970,60375.187506836999
B00971,60375.187667651000
B00972,60375.187723613002
B00975,60375.187836079000
B00976,60375.188002873001
B00977,60375.188221684002
B00978,60375.188231756001
B00979,60375.188285274002
B00980,60375.188552724001
B00982,60375.188643030000
B00983,60375.188703697997
B00984,60375.188739133999
B00985,60375.188774857001
B00986,60375.188794440000
B00987,60375.188863208998
B00988,60375.189075312002
B00989,60375.189137194997
B00990,60375.189183905000
B00992,60375.189189525998
B00993,60375.189207057003
B00994,60375.189237518003
B00995,60375.189247116999
B00996,60375.189383523000
B00997,60375.189425880999
B00998,60375.189841410996
B00999,60375.189873828996
B01000,60375.190180459998
B01001,60375.190200928002
B01002,60375.190320397000
B01003,60375.190351997000
B01004,60375.190454363001
B01005,60375.190458514997
B01006,60375.190611245001
B01008,60375.190754659998
B01009,60375.191140269002
B01010,60375.191284039000
B01011,60375.191304182998
B01012,60375.191349444998
B01013,60375.191367726999
B01015,60375.191525577997
B01017,60375.191702680997
B01018,60375.191804638001
B01019,60375.191886150998
B01021,60375.192192103998
B01023,60375.192239791999
B01024,60375.192301793999
B01025,60375.192327162003
B01026,60375.192434117002
B01029,60375.192659398999
B01032,60375.192662679998
B01033,60375.192710310002
B01034,60375.192727709000
B01035,60375.192816167000
B01036,60375.192859050003
B01037,60375.193109649997
B01038,60375.193132284003
B01039,60375.193137727001
B01040,60375.193483631003
B01042,60375.193497626002
B01043,60375.193667082000
B01044,60375.193684049998
B01045,60375.193764770003
B01046,60375.193826135001
B01050,60375.194239224998
B01052,60375.194397040003
B01053,60375.194474606003
B01054,60375.194947577998
B01055,60375.194970042001
B01056,60375.195159451003
B01057,60375.195238884997
B01058,60375.195270133998
B01061,60375.195335935998
B01064,60375.195434374997
B01065,60375.195492840001
B01066,60375.195522171998
B01067,60375.195532213002
B01068,60375.195731180000
B01069,60375.195896504003
B01070,60375.196029514002
B01071,60375.196179683000
B01072,60375.196224275998
B01073,60375.196306562997
B01074,60375.196491625000
B01075,60375.196671240999
B01076,60375.196684256996
B01078,60375.196721330998
B01079,60375.196910658997
B01080,60375.197773025997
B01083,60375.197921200997
B01084,60375.198049628001
B01085,60375.198149082004
B01086,60375.198325152000
B01087,60375.198336644004
B01090,60375.198351585997
B01091,60375.198641959003
B01092,60375.198708862998
B01093,60375.198875567003
B01094,60375.198882206998
B01095,60375.198996047002
B01096,60375.199168790001
B01097,60375.199594268001
B01098,60375.199627465001
B01099,60375.199728221000
B01100,60375.199806848002
B01101,60375.199820456997
B01102,60375.199862159003
B01103,60375.200143148999
B01104,60375.200144782997
B01105,60375.200387268997
B01106,60375.200456812003
B01107,60375.200642798998
B01108,60375.200689117002
B01110,60375.200724857998
B01111,60375.200901465003
B01112,60375.200991297999
B01114,60375.201161190998
B01115,60375.201186122998
B01116,60375.201649012000
B01117,60375.201794282999
B01118,60375.201846204000
B01119,60375.201891306999
B01120,60375.201893486999
B01123,60375.202028810003
B01124,60375.202109758000
B01125,60375.202111478997
B01126,60375.202245704000
B01127,60375.202421096001
B01128,60375.202913754998
B01129,60375.203052764002
B01130,60375.203502427998
B01131,60375.203668506998
B01132,60375.203729735003
B01135,60375.203994067000
