mjd_start_bary,mjd_end_bary
59892.566501872163,59893.064122400778
59892.577711230413,59892.701981421327
59892.701988055589,59892.817746666944
59892.809606497278,59893.069585213561
59892.834023673488,59892.962424037316
59892.962469425358,59893.086718509250
59893.211031219049,59893.335269245559
59893.335275151672,59893.459594654334
59893.459602987612,59893.589827330587
59893.563687236667,59894.061330514785
59893.589833843493,59893.713812244270
59893.713821791105,59893.816556222519
59893.809569300189,59894.069547764375
59893.826826701625,59893.951928830000
59893.951951524010,59894.077447729956
59894.077458247666,59894.204192137557
59894.328339348365,59894.452638423383
59894.452650882849,59894.576906857990
59894.560871643145,59895.058491218158
59894.576913047269,59894.589362839222
59894.802586966733,59895.062565186447
59895.558066674988,59896.055697435644
59896.070876318103,59896.196046552766
59896.196053106105,59896.235860535620
59896.555260768539,59897.033690468430
59896.802507820597,59897.029847994716
59897.500898482343,59897.629040797961
59897.629116848977,59897.753812877047
59897.753851873407,59897.878836822914
59897.802466846464,59898.027723578707
59897.804469080613,59898.049840644533
59898.306028427083,59898.421827490150
59898.421862400777,59898.546830728199
59898.546888979996,59898.671847666163
59898.671895319370,59898.796226043429
59898.796263866599,59898.907893537100
59898.907934839204,59898.992925873790
59899.318730540042,59899.441293380893
59899.441315548916,59899.566305406632
59899.557195881003,59900.044258053815
59899.566365842824,59899.690562120224
59899.690586755816,59899.814916141804
59899.814950364671,59899.906476099153
59899.816270435578,59900.069650493453
59899.906494788243,59900.066186614662
59900.066200044887,59900.192148413102
59900.192155654091,59900.281068368793
59900.360332160453,59900.399194695834
59900.542071675918,59900.646943944812
59900.544074264937,59901.041679152368
59900.687763477072,59900.812106991783
59900.812113261920,59900.906398464329
59900.816226723327,59901.069606554796
59900.906406109832,59901.066392247456
59901.066398841205,59901.190735955977
59901.190750640235,59901.314780027133
59901.383973100281,59901.508053398829
59901.508059911699,59901.632319413584
59901.587083561695,59901.617197963060
59901.632325319639,59901.756538416565
59901.767036286765,59901.906334641717
59901.906341114096,59902.066127154285
59902.066130066858,59902.193247857249
59902.193256109524,59902.317534537229
59902.317544488527,59902.442389094613
59902.505020163218,59902.629365154855
59902.538417799122,59903.036033393655
59902.629389830872,59902.753653669111
59902.816136655754,59903.069504483661
59902.906328279838,59903.059113847979
59903.059125053267,59903.183522186002
59903.183531530514,59903.309781541771
59903.309793717926,59903.408079838635
59903.408092702513,59903.521764654703
59903.522541220678,59903.646728984088
59903.535617205547,59904.033209229303
59903.646740715296,59903.771071062016
59903.771084654043,59903.788490364437
59903.777897672830,59904.029193648588
59903.797079750031,59903.921008438076
59903.921021301918,59903.963480791572
59904.063598006869,59904.188978959115
59904.188990609415,59904.313321211695
59904.313330151665,59904.437670710839
59904.437683534255,59904.451143552084
59904.464429968524,59904.561936987229
59904.561981153696,59904.686267786332
59904.586945178453,59905.030407831371
59904.686276766770,59904.785399237917
59904.774378471528,59905.034342806393
59904.799468459350,59904.923615483633
59904.923626041709,59905.049312228104
59905.049321046710,59905.174087704392
59905.174105867482,59905.297996725290
59905.308490761148,59905.432628590432
59905.457097436403,59905.517350636408
59905.517564710506,59905.569581072763
59905.524342488527,59905.732226046966
59905.529955626793,59906.027558397218
59905.575458199055,59905.700089619575
59905.700122264636,59905.824308360192
59905.781286177516,59906.032558589875
59905.824339265768,59905.948643169279
59905.948656437657,59906.031468548725
59906.031487237684,59906.153594171825
59906.153605336658,59906.279692568241
59906.289879116703,59906.413963361556
