row_index,Telescope,obs_code,mjd_start,mjd_end,bandwidth,cent_f,low_c_l,high_c_h,rec_time_s,rec_time_m,rec_time_h,rec_time_d
229,stk,r117_59903_178,59903.40456455777,59903.51824172567,98.4375,1381.46484375,1332.24609375,1430.68359375,9821.707306662574,163.69512177770957,2.728252029628493,0.1136771679011872
230,stk,r117_59903_179,59903.519018327264,59903.64321179815,98.4375,1381.46484375,1332.24609375,1430.68359375,10730.315884784795,178.8385980797466,2.98064330132911,0.12419347088871291
231,wb,p11712,59903.532094907416,59904.0297101837,64.0,332.0,300.0,364.0,41184.66917783953,686.4111529639922,11.440185882733203,0.47667441178055014
232,stk,r117_59903_180,59903.6432235299,59903.76755964272,98.4375,1381.46484375,1332.24609375,1430.68359375,10742.640147800555,179.0440024633426,2.9840667077223766,0.12433611282176568
233,stk,r117_59903_181,59903.76757323538,59903.78497975878,98.4375,1381.46484375,1332.24609375,1430.68359375,1503.9236219599845,25.065393699333075,0.41775656165555125,0.017406523402314637
234,tr,f22l11,59903.77438657407,59904.02569443196,128.0,1414.0,1350.0,1478.0,20668.973300163634,344.48288833606057,5.741381472267676,0.23922422801115317
235,stk,r117_59903_182,59903.79356954612,59903.91750406892,98.4375,1381.46484375,1332.24609375,1430.68359375,10707.942770118825,178.46571283531375,2.974428547255229,0.12393452280230122
236,stk,r117_59903_183,59903.917516933376,59903.959978435945,98.4375,1381.46484375,1332.24609375,1430.68359375,3668.673822004348,61.14456370007247,1.0190760616678745,0.04246150256949477
237,stk,r117_59904_184,59904.06010041267,59904.185487326475,98.4375,1381.46484375,1332.24609375,1430.68359375,10833.429353102109,180.55715588503514,3.0092859314172524,0.12538691380905218
238,stk,r117_59904_185,59904.18549897733,59904.309835454245,98.4375,1381.46484375,1332.24609375,1430.68359375,10742.671605711805,179.0445267618634,2.984075446031057,0.12433647691796071
239,stk,r117_59904_186,59904.30984439464,59904.434190782864,98.4375,1381.46484375,1332.24609375,1430.68359375,10743.527942849323,179.05879904748872,2.9843133174581453,0.12434638822742272
